,book_title,book_image,book_price,book_availability,book_rating
41,Slow States of Collapse: Poems,slow-states-of-collapse-poems_960/index.html,57.31,In stock,Three
42,Reasons to Stay Alive,reasons-to-stay-alive_959/index.html,26.41,In stock,Two
43,Private Paris (Private #10),private-paris-private-10_958/index.html,47.61,In stock,Five
44,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,23.11,In stock,Five
45,Without Borders (Wanderlove #1),without-borders-wanderlove-1_956/index.html,45.07,In stock,Two
46,When We Collided,when-we-collided_955/index.html,31.77,In stock,One
47,"We Love You, Charlie Freeman",we-love-you-charlie-freeman_954/index.html,50.27,In stock,Five
48,Untitled Collection: Sabbath Poems 2014,untitled-collection-sabbath-poems-2014_953/index.html,14.27,In stock,Four
49,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,44.18,In stock,Four
50,Unicorn Tracks,unicorn-tracks_951/index.html,18.78,In stock,Three
51,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,25.52,In stock,One
52,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,16.28,In stock,One
53,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,31.12,In stock,Three
54,This One Summer,this-one-summer_947/index.html,19.49,In stock,Four
55,Thirst,thirst_946/index.html,17.27,In stock,Five
56,The Torch Is Passed: A Harding Family Story,the-torch-is-passed-a-harding-family-story_945/index.html,19.09,In stock,One
57,The Secret of Dreadwillow Carse,the-secret-of-dreadwillow-carse_944/index.html,56.13,In stock,One
58,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,56.41,In stock,One
59,The Past Never Ends,the-past-never-ends_942/index.html,56.50,In stock,Four
60,The Natural History of Us (The Fine Art of Pretending #2),the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,45.22,In stock,Three
61,The Nameless City (The Nameless City #1),the-nameless-city-the-nameless-city-1_940/index.html,38.16,In stock,Four
62,The Murder That Never Was (Forensic Instincts #5),the-murder-that-never-was-forensic-instincts-5_939/index.html,54.11,In stock,Three
63,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,42.96,In stock,Four
64,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,23.89,In stock,Four
65,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,16.77,In stock,Three
66,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,20.59,In stock,Five
67,The Gutsy Girl: Escapades for Your Life of Epic Adventure,the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,37.13,In stock,One
68,The Electric Pencil: Drawings from Inside State Hospital No. 3,the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,56.06,In stock,One
69,The Death of Humanity: and the Case for Life,the-death-of-humanity-and-the-case-for-life_932/index.html,58.11,In stock,Four
70,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,49.05,In stock,Three
71,The Art Forger,the-art-forger_930/index.html,40.76,In stock,Three
72,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,19.73,In stock,One
73,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,32.24,In stock,Five
74,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,41.83,In stock,Four
75,Soul Reader,soul-reader_926/index.html,39.58,In stock,Two
76,Security,security_925/index.html,39.25,In stock,Two
77,"Saga, Volume 6 (Saga (Collected Editions) #6)",saga-volume-6-saga-collected-editions-6_924/index.html,25.02,In stock,Three
78,"Saga, Volume 5 (Saga (Collected Editions) #5)",saga-volume-5-saga-collected-editions-5_923/index.html,51.04,In stock,Two
79,Reskilling America: Learning to Labor in the Twenty-First Century,reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,19.83,In stock,Two
80,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,50.40,In stock,Three
81,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,13.61,In stock,Five
82,Princess Between Worlds (Wide-Awake Princess #5),princess-between-worlds-wide-awake-princess-5_919/index.html,13.34,In stock,Five
83,"Pop Gun War, Volume 1: Gift",pop-gun-war-volume-1-gift_918/index.html,18.97,In stock,One
84,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,36.28,In stock,Two
85,Patience,patience_916/index.html,10.16,In stock,Three
86,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,15.44,In stock,Four
87,orange: The Complete Collection 1 (orange: The Complete Collection #1),orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,48.41,In stock,One
88,Online Marketing for Busy Authors: A Step-By-Step Guide,online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,46.35,In stock,One
89,On a Midnight Clear,on-a-midnight-clear_912/index.html,14.07,In stock,Three
90,Obsidian (Lux #1),obsidian-lux-1_911/index.html,14.86,In stock,Two
91,My Paris Kitchen: Recipes and Stories,my-paris-kitchen-recipes-and-stories_910/index.html,33.37,In stock,Two
92,Masks and Shadows,masks-and-shadows_909/index.html,56.40,In stock,Two
93,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,14.02,In stock,Four
94,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,46.91,In stock,Two
95,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,45.61,In stock,Three
96,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,19.92,In stock,Two
97,"Layered: Baking, Building, and Styling Spectacular Cakes",layered-baking-building-and-styling-spectacular-cakes_904/index.html,40.11,In stock,One
98,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,53.90,In stock,Two
99,Join,join_902/index.html,35.67,In stock,Five
100,In the Country We Love: My Family Divided,in-the-country-we-love-my-family-divided_901/index.html,22.00,In stock,Four
101,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,57.36,In stock,Five
102,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,29.17,In stock,Two
103,I am a Hero Omnibus Volume 1,i-am-a-hero-omnibus-volume-1_898/index.html,54.63,In stock,Three
104,How to Be Miserable: 40 Strategies You Already Use,how-to-be-miserable-40-strategies-you-already-use_897/index.html,46.03,In stock,One
105,Her Backup Boyfriend (The Sorensen Family #1),her-backup-boyfriend-the-sorensen-family-1_896/index.html,33.97,In stock,One
106,"Giant Days, Vol. 2 (Giant Days #5-8)",giant-days-vol-2-giant-days-5-8_895/index.html,22.11,In stock,Two
107,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,29.69,In stock,Three
108,First and First (Five Boroughs #3),first-and-first-five-boroughs-3_893/index.html,15.97,In stock,Four
109,Fifty Shades Darker (Fifty Shades #2),fifty-shades-darker-fifty-shades-2_892/index.html,21.96,In stock,One
110,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,54.35,In stock,Two
111,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,37.97,In stock,Two
112,Danganronpa Volume 1,danganronpa-volume-1_889/index.html,51.99,In stock,Four
113,Crown of Midnight (Throne of Glass #2),crown-of-midnight-throne-of-glass-2_888/index.html,43.29,In stock,Three
114,"Codename Baboushka, Volume 1: The Conclave of Death",codename-baboushka-volume-1-the-conclave-of-death_887/index.html,36.72,In stock,Four
115,Camp Midnight,camp-midnight_886/index.html,17.08,In stock,Four
116,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,29.14,In stock,Five
117,Burning,burning_884/index.html,28.81,In stock,Three
118,Bossypants,bossypants_883/index.html,49.46,In stock,Two
119,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,37.92,In stock,Two
120,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,28.09,In stock,Two
121,Algorithms to Live By: The Computer Science of Human Decisions,algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,30.81,In stock,One
122,A World of Flavor: Your Gluten Free Passport,a-world-of-flavor-your-gluten-free-passport_879/index.html,42.95,In stock,One
123,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,56.76,In stock,Five
124,A Murder in Time,a-murder-in-time_877/index.html,16.64,In stock,One
125,A Flight of Arrows (The Pathfinders #2),a-flight-of-arrows-the-pathfinders-2_876/index.html,55.53,In stock,Five
126,A Fierce and Subtle Poison,a-fierce-and-subtle-poison_875/index.html,28.13,In stock,Four
127,A Court of Thorns and Roses (A Court of Thorns and Roses #1),a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,52.37,In stock,One
128,(Un)Qualified: How God Uses Broken People to Do Big Things,unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,54.00,In stock,Five
129,You Are What You Love: The Spiritual Power of Habit,you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,21.87,In stock,Four
130,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,43.30,In stock,Four
131,Tuesday Nights in 1980,tuesday-nights-in-1980_870/index.html,21.04,In stock,Two
132,Tracing Numbers on a Train,tracing-numbers-on-a-train_869/index.html,41.60,In stock,Three
133,Throne of Glass (Throne of Glass #1),throne-of-glass-throne-of-glass-1_868/index.html,35.07,In stock,Three
134,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,59.64,In stock,One
135,Thirteen Reasons Why,thirteen-reasons-why_866/index.html,52.72,In stock,One
136,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,58.08,In stock,Four
137,The Wedding Dress,the-wedding-dress_864/index.html,24.12,In stock,One
138,The Vacationers,the-vacationers_863/index.html,42.15,In stock,Four
139,The Third Wave: An Entrepreneurâs Vision of the Future,the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,12.61,In stock,Five
140,The Stranger,the-stranger_861/index.html,17.44,In stock,Four
141,The Shadow Hero (The Shadow Hero),the-shadow-hero-the-shadow-hero_860/index.html,33.14,In stock,One
142,The Secret (The Secret #1),the-secret-the-secret-1_859/index.html,27.37,In stock,Four
143,The Regional Office Is Under Attack!,the-regional-office-is-under-attack_858/index.html,51.36,In stock,Five
144,The Psychopath Test: A Journey Through the Madness Industry,the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,36.00,In stock,Two
145,The Project,the-project_856/index.html,10.65,In stock,One
146,The Power of Now: A Guide to Spiritual Enlightenment,the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,43.54,In stock,Two
147,The Omnivore's Dilemma: A Natural History of Four Meals,the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,38.21,In stock,Two
148,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,37.34,In stock,Five
149,The Murder of Roger Ackroyd (Hercule Poirot #4),the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,44.10,In stock,Four
150,The Mistake (Off-Campus #2),the-mistake-off-campus-2_851/index.html,43.29,In stock,Three
151,The Matchmaker's Playbook (Wingmen Inc. #1),the-matchmakers-playbook-wingmen-inc-1_850/index.html,55.85,In stock,One
152,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,37.60,In stock,Two
153,The Long Shadow of Small Ghosts: Murder and Memory in an American City,the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,10.97,In stock,One
154,The Kite Runner,the-kite-runner_847/index.html,41.82,In stock,Four
155,The House by the Lake,the-house-by-the-lake_846/index.html,36.95,In stock,One
156,The Glittering Court (The Glittering Court #1),the-glittering-court-the-glittering-court-1_845/index.html,44.28,In stock,One
157,The Girl on the Train,the-girl-on-the-train_844/index.html,55.02,In stock,Two
158,The Genius of Birds,the-genius-of-birds_843/index.html,17.24,In stock,One
159,The Emerald Mystery,the-emerald-mystery_842/index.html,23.15,In stock,Two
160,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,41.25,In stock,One
161,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,32.00,In stock,Three
162,The Artist's Way: A Spiritual Path to Higher Creativity,the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,38.49,In stock,Five
163,The Art of War,the-art-of-war_838/index.html,33.34,In stock,Five
164,The Argonauts,the-argonauts_837/index.html,10.93,In stock,Two
165,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,27.55,In stock,Three
166,Suddenly in Love (Lake Haven #1),suddenly-in-love-lake-haven-1_835/index.html,55.99,In stock,Two
167,Something More Than This,something-more-than-this_834/index.html,16.24,In stock,Four
168,Soft Apocalypse,soft-apocalypse_833/index.html,26.12,In stock,Two
169,So You've Been Publicly Shamed,so-youve-been-publicly-shamed_832/index.html,12.23,In stock,Two
170,Shoe Dog: A Memoir by the Creator of NIKE,shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,23.99,In stock,Two
171,"Shobu Samurai, Project Aryoku (#3)",shobu-samurai-project-aryoku-3_830/index.html,29.06,In stock,Three
172,Secrets and Lace (Fatal Hearts #1),secrets-and-lace-fatal-hearts-1_829/index.html,20.27,In stock,One
173,Scarlett Epstein Hates It Here,scarlett-epstein-hates-it-here_828/index.html,43.55,In stock,Five
174,Romero and Juliet: A Tragic Tale of Love and Zombies,romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html,36.94,In stock,One
175,Redeeming Love,redeeming-love_826/index.html,20.47,In stock,Five
176,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html,41.06,In stock,One
177,Poems That Make Grown Women Cry,poems-that-make-grown-women-cry_824/index.html,14.19,In stock,Four
178,"Nightingale, Sing",nightingale-sing_823/index.html,38.28,In stock,One
179,Night Sky with Exit Wounds,night-sky-with-exit-wounds_822/index.html,41.05,In stock,One
180,Mrs. Houdini,mrs-houdini_821/index.html,30.25,In stock,Five
181,Modern Romance,modern-romance_820/index.html,28.26,In stock,Five
182,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html,10.76,In stock,One
183,Louisa: The Extraordinary Life of Mrs. Adams,louisa-the-extraordinary-life-of-mrs-adams_818/index.html,16.85,In stock,Two
184,Little Red,little-red_817/index.html,13.47,In stock,Three
185,Library of Souls (Miss Peregrineâs Peculiar Children #3),library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,48.56,In stock,Five
186,Large Print Heart of the Pride,large-print-heart-of-the-pride_815/index.html,19.15,In stock,Two
187,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,57.36,In stock,Four
188,Hollow City (Miss Peregrineâs Peculiar Children #2),hollow-city-miss-peregrines-peculiar-children-2_813/index.html,42.98,In stock,One
189,Grumbles,grumbles_812/index.html,22.16,In stock,Two
190,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,49.43,In stock,Four
191,Frostbite (Vampire Academy #2),frostbite-vampire-academy-2_810/index.html,29.99,In stock,Five
192,Follow You Home,follow-you-home_809/index.html,21.36,In stock,One
193,First Steps for New Christians (Print Edition),first-steps-for-new-christians-print-edition_808/index.html,29.00,In stock,One
194,Finders Keepers (Bill Hodges Trilogy #2),finders-keepers-bill-hodges-trilogy-2_807/index.html,53.53,In stock,Five
195,"Fables, Vol. 1: Legends in Exile (Fables #1)",fables-vol-1-legends-in-exile-fables-1_806/index.html,41.62,In stock,Four
196,Eureka Trivia 6.0,eureka-trivia-60_805/index.html,54.59,In stock,Four
197,Drive: The Surprising Truth About What Motivates Us,drive-the-surprising-truth-about-what-motivates-us_804/index.html,34.95,In stock,Four
198,Done Rubbed Out (Reightman & Bailey #1),done-rubbed-out-reightman-bailey-1_803/index.html,37.72,In stock,Five
199,Doing It Over (Most Likely To #1),doing-it-over-most-likely-to-1_802/index.html,35.61,In stock,Three
200,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html,42.16,In stock,Three
201,Dark Notes,dark-notes_800/index.html,19.19,In stock,Five
202,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead_799/index.html,19.43,In stock,Three
203,Close to You,close-to-you_798/index.html,49.46,In stock,Four
204,Chasing Heaven: What Dying Taught Me About Living,chasing-heaven-what-dying-taught-me-about-living_797/index.html,37.80,In stock,Two
205,Big Magic: Creative Living Beyond Fear,big-magic-creative-living-beyond-fear_796/index.html,30.80,In stock,Three
206,Becoming Wise: An Inquiry into the Mystery and Art of Living,becoming-wise-an-inquiry-into-the-mystery-and-art-of-living_795/index.html,27.43,In stock,Two
207,Beauty Restored (Riley Family Legacy Novellas #3),beauty-restored-riley-family-legacy-novellas-3_794/index.html,11.11,In stock,Two
208,Batman: The Long Halloween (Batman),batman-the-long-halloween-batman_793/index.html,36.50,In stock,Two
209,Batman: The Dark Knight Returns (Batman),batman-the-dark-knight-returns-batman_792/index.html,15.38,In stock,Five
210,Ayumi's Violin,ayumis-violin_791/index.html,15.48,In stock,Two
211,Anonymous,anonymous_790/index.html,46.82,In stock,Four
212,Amy Meets the Saints and Sages,amy-meets-the-saints-and-sages_789/index.html,18.46,In stock,Three
213,Amid the Chaos,amid-the-chaos_788/index.html,36.58,In stock,One
214,Amatus,amatus_787/index.html,50.54,In stock,Five
215,Agnostic: A Spirited Manifesto,agnostic-a-spirited-manifesto_786/index.html,12.51,In stock,Five
216,Zealot: The Life and Times of Jesus of Nazareth,zealot-the-life-and-times-of-jesus-of-nazareth_785/index.html,24.70,In stock,Three
217,You (You #1),you-you-1_784/index.html,43.61,In stock,Five
218,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html,37.34,In stock,Four
219,Wild Swans,wild-swans_782/index.html,14.36,In stock,Two
220,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,why-the-right-went-wrong-conservatism-from-goldwater-to-the-tea-party-and-beyond_781/index.html,52.65,In stock,Four
221,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,whole-lotta-creativity-going-on-60-fun-and-unusual-exercises-to-awaken-and-strengthen-your-creativity_780/index.html,38.20,In stock,Four
222,What's It Like in Space?: Stories from Astronauts Who've Been There,whats-it-like-in-space-stories-from-astronauts-whove-been-there_779/index.html,19.60,In stock,Two
223,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html,53.90,In stock,One
224,Walt Disney's Alice in Wonderland,walt-disneys-alice-in-wonderland_777/index.html,12.96,In stock,Five
225,V for Vendetta (V for Vendetta Complete),v-for-vendetta-v-for-vendetta-complete_776/index.html,37.10,In stock,Four
226,Until Friday Night (The Field Party #1),until-friday-night-the-field-party-1_775/index.html,46.31,In stock,Two
